event_id,account_id,event_type,quantity,event_timestamp,source_system
5dbbf366-73f,ACC-002,api_call,961,2025-07-09T17:07:00,product_telemetry
76ad87c5-890,ACC-002,data_processed_gb,961,2025-07-09T17:30:00,product_telemetry
fa0b6338-22f,ACC-002,compute_minutes,961,2025-07-10T10:19:00,product_telemetry
b0bdcd9a-62a,ACC-002,api_call,961,2025-07-08T16:03:00,product_telemetry
bcb5cfe3-7ea,ACC-002,data_processed_gb,961,2025-07-09T04:34:00,product_telemetry
76ad7f41-ae5,ACC-002,compute_minutes,960,2025-07-09T08:29:00,product_telemetry
0641fa7a-2ac,ACC-002,api_call,961,2025-07-07T15:19:00,product_telemetry
4fc2b9cd-6b4,ACC-002,data_processed_gb,961,2025-07-08T06:59:00,product_telemetry
e924882f-f48,ACC-002,compute_minutes,961,2025-07-08T10:12:00,product_telemetry
888d5877-eb6,ACC-002,api_call,960,2025-07-07T05:29:00,product_telemetry
bb2f01c5-f87,ACC-002,data_processed_gb,961,2025-07-07T11:22:00,product_telemetry
bcad466d-0e4,ACC-002,compute_minutes,961,2025-07-06T14:37:00,product_telemetry
05df9fc6-f87,ACC-002,api_call,961,2025-07-05T19:30:00,product_telemetry
6c574526-c6e,ACC-002,data_processed_gb,960,2025-07-05T19:33:00,product_telemetry
87b1bd83-afb,ACC-002,compute_minutes,961,2025-07-06T05:20:00,product_telemetry
0fe329b1-c59,ACC-002,api_call,961,2025-07-04T16:30:00,product_telemetry
46e17dfc-081,ACC-002,data_processed_gb,961,2025-07-04T15:08:00,product_telemetry
b5f88be1-b6e,ACC-002,compute_minutes,961,2025-07-05T10:37:00,product_telemetry
b5e6a629-6bd,ACC-002,api_call,961,2025-07-03T21:14:00,product_telemetry
d267a979-989,ACC-002,data_processed_gb,961,2025-07-03T19:59:00,product_telemetry
97c6a874-eef,ACC-002,compute_minutes,961,2025-07-04T05:50:00,product_telemetry
c4311340-c73,ACC-002,api_call,961,2025-07-02T19:57:00,product_telemetry
1ce4b81b-138,ACC-002,data_processed_gb,961,2025-07-03T09:40:00,product_telemetry
